Species,IgG Round 1,IgG Round 2,IgM Round 1,IgM Round 2
Feline,0.161,0.186,0.476,0.445
Canine,0.461,0.316,0.471,0.52
Feline,0.164,NA,0.79,NA
Canine,0.69,NA,0.525,NA
Feline,0.147,0.15,0.54,0.453
Feline,0.89,1.347,0.406,0.399
Canine,0.444,0.35,0.389,0.433
Feline,0.18,NA,0.767,NA
Canine,0.49,0.265,0.338,0.365
Canine,0.426,0.434,0.392,0.387
Canine,1.751,1.93,0.947,1.308
Canine,1.287,1.126,0.174,0.207
Canine,1.46,1.158,0.315,0.412
Canine,0.424,0.346,0.332,0.341
Feline,0.187,0.185,0.473,0.437
Canine,0.368,0.317,0.533,0.469
Canine,0.716,0.479,0.981,1.159
Canine,1.86,1.831,1.725,2.473
Canine,0.616,1.758,0.388,2.284
Canine,0.341,0.229,0.15,0.184
Canine,1.437,1.771,0.505,0.728
Feline,0.363,0.475,0.406,0.217
Feline,0.11,0.084,0.482,0.374
Canine,0.513,0.301,0.489,0.581
Canine,0.488,0.603,0.521,1.162
Feline,0.168,0.131,0.331,0.312
Canine,0.33,0.741,0.538,1.125
Canine,1.465,1.509,1.218,1.531
Canine,0.543,0.769,0.68,0.855
Feline,1.629,1.757,0.835,1.385
Feline,0.221,0.25,0.329,0.334
Feline,1.583,1.71,1.285,1.214
Feline,0.96,NA,0.494,NA
Feline,0.4,0.246,0.857,0.857
Canine,1.218,1.513,1.478,1.928
Canine,1.349,1.552,1.282,1.677
Canine,0.495,0.493,0.49,0.499
Canine,0.482,0.4,0.27,0.382
Canine,1.612,1.769,0.911,1.161
